Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,duration,eventlog_violation,policy_violation,true_violation
Obtained,User_116,W_Validate application,Workflow,Workitem_817090396,start,2016-02-29 10:11:29.125000+00:00,Existing loan takeover,New credit,Application_1870161219,27400.0,,,,,,,,,1.888888888888889e-05,False,False,False
Released,User_2,W_Call incomplete files,Workflow,Workitem_1943133145,suspend,2016-01-29 08:46:14.262000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,3.8044555555555557,False,False,False
statechange,User_19,A_Complete,Application,ApplState_220042360,complete,2016-01-04 10:15:24.187000+00:00,Unknown,New credit,Application_2108937169,0.0,,,,,,,,,0.009639722222222223,False,False,False
statechange,User_1,A_Concept,Application,ApplState_1910060633,complete,2016-01-04 13:30:22.988000+00:00,Car,New credit,Application_1365381023,5000.0,,,,,,,,,20.320021666666666,False,False,False
statechange,User_52,A_Concept,Application,ApplState_96232430,complete,2016-01-02 13:07:12.389000+00:00,Home improvement,Limit raise,Application_2035768049,15000.0,,,,,,,,,1.6666666666666667e-06,False,False,False
Obtained,User_120,W_Validate application,Workflow,Workitem_2083674799,start,2016-02-05 08:27:20.004000+00:00,Unknown,New credit,Application_1660185664,0.0,,,,,,,,,1.75e-05,False,False,False
Deleted,User_113,W_Call incomplete files,Workflow,Workitem_1065833743,ate_abort,2016-01-14 14:43:43.719000+00:00,Car,New credit,Application_901793095,5000.0,,,,,,,,,0.03188152777777778,False,False,False
statechange,User_100,A_Incomplete,Application,ApplState_417798179,complete,2016-01-11 09:15:13.251000+00:00,Car,New credit,Application_1699757505,6000.0,,,,,,,,,0.02061083333333333,False,False,False
statechange,User_115,A_Pending,Application,ApplState_503129013,complete,2016-01-08 16:05:47.594000+00:00,Caravan / Camper,New credit,Application_1059184025,6600.0,,,,,,,,,8.333333333333333e-07,False,False,False
Created,User_10,W_Call after offers,Workflow,Workitem_1194456929,schedule,2016-01-05 19:05:50.857000+00:00,Home improvement,Limit raise,Application_1947668470,20000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_85,O_Created,Offer,OfferState_147695671,complete,2016-01-05 10:46:32.530000+00:00,Home improvement,New credit,Application_1754943309,10000.0,,,,,,,,Offer_639398314,0.006155000000000001,False,False,False
statechange,User_75,A_Incomplete,Application,ApplState_1642516846,complete,2016-01-04 09:28:01.461000+00:00,Unknown,New credit,Application_927205634,0.0,,,,,,,,,0.03025138888888889,False,False,False
Created,User_8,O_Create Offer,Offer,Offer_1627163731,complete,2016-01-29 09:58:20.391000+00:00,Car,New credit,Application_2068443797,13500.0,13000.0,54.0,True,272.64,False,0.0,13000.0,,0.0004052777777777778,False,False,False
Obtained,User_26,W_Call incomplete files,Workflow,Workitem_1637479442,resume,2016-03-08 08:49:31.028000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,0.018909444444444444,False,False,False
statechange,User_17,A_Concept,Application,ApplState_1344580504,complete,2016-01-02 13:02:58.744000+00:00,Existing loan takeover,New credit,Application_767475240,15400.0,,,,,,,,,0.10202444444444445,False,False,False
statechange,User_3,O_Created,Offer,OfferState_609967592,complete,2016-01-05 13:33:20.154000+00:00,Boat,New credit,Application_920048730,40000.0,,,,,,,,Offer_363292271,0.0036966666666666667,False,False,False
statechange,User_95,A_Pending,Application,ApplState_1165608022,complete,2016-01-22 13:07:06.438000+00:00,Home improvement,New credit,Application_470922426,40000.0,,,,,,,,,1.111111111111111e-06,False,False,False
Obtained,User_95,W_Validate application,Workflow,Workitem_1060045289,resume,2016-01-11 10:28:26.262000+00:00,Car,New credit,Application_813133375,33800.0,,,,,,,,,0.0012527777777777778,False,False,False
Created,User_1,A_Create Application,Application,Application_1710223761,complete,2016-01-01 14:23:21.334000+00:00,Car,New credit,Application_1710223761,11000.0,,,,,,,,,1.3055555555555555e-05,False,False,False
statechange,User_1,A_Cancelled,Application,ApplState_1284081345,complete,2016-02-04 07:00:27.293000+00:00,Unknown,Limit raise,Application_369018038,0.0,,,,,,,,,6.3888888888888885e-06,False,False,False
Obtained,User_38,W_Call incomplete files,Workflow,Workitem_1008712962,resume,2016-02-06 14:33:23.393000+00:00,Car,Limit raise,Application_1128910355,0.0,,,,,,,,,0.022977777777777778,False,False,False
Deleted,User_44,W_Complete application,Workflow,Workitem_1976054054,ate_abort,2016-01-09 10:20:03.939000+00:00,Car,Limit raise,Application_37839400,25000.0,,,,,,,,,5.277777777777778e-06,False,False,False
statechange,User_95,A_Incomplete,Application,ApplState_113653714,complete,2016-01-21 12:10:39.307000+00:00,Existing loan takeover,New credit,Application_163777174,11000.0,,,,,,,,,0.009082222222222222,False,False,False
Obtained,User_99,W_Validate application,Workflow,Workitem_1928824529,resume,2016-01-22 12:50:28.104000+00:00,Home improvement,New credit,Application_470922426,40000.0,,,,,,,,,0.005796388888888889,False,False,False
Released,User_117,W_Validate application,Workflow,Workitem_1611242873,suspend,2016-01-19 08:18:41.459000+00:00,Car,New credit,Application_1946236735,16000.0,,,,,,,,,3.7416055555555556,False,False,False
Obtained,User_29,W_Validate application,Workflow,Workitem_192215345,resume,2016-01-14 15:42:40.508000+00:00,Home improvement,Limit raise,Application_1474017032,15000.0,,,,,,,,,0.005768611111111111,False,False,False
statechange,User_68,O_Accepted,Offer,OfferState_1810821317,complete,2016-02-22 10:14:16.942000+00:00,Not speficied,New credit,Application_758985626,17000.0,,,,,,,,Offer_203604417,1.4444444444444444e-05,False,False,False
Released,User_100,W_Call incomplete files,Workflow,Workitem_804526522,suspend,2016-01-15 14:43:28.945000+00:00,Car,New credit,Application_675073178,24000.0,,,,,,,,,2.1429855555555553,False,False,False
Obtained,User_100,W_Validate application,Workflow,Workitem_1902535458,resume,2016-01-14 14:04:46.299000+00:00,Car,New credit,Application_1193723578,20000.0,,,,,,,,,0.09606694444444444,False,False,False
Created,User_116,W_Validate application,Workflow,Workitem_276365986,schedule,2016-01-21 11:16:08.331000+00:00,Existing loan takeover,New credit,Application_163777174,11000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_1,W_Handle leads,Workflow,Workitem_1022543404,schedule,2016-01-04 10:59:34.173000+00:00,Not speficied,New credit,Application_1101997724,10000.0,,,,,,,,,0.24809,False,False,False
Created,User_114,W_Validate application,Workflow,Workitem_1749792985,schedule,2016-01-22 09:35:23.909000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Obtained,User_2,W_Validate application,Workflow,Workitem_1335130246,start,2016-01-22 11:24:30.748000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,4.555555555555556e-05,False,False,False
Released,User_47,W_Complete application,Workflow,Workitem_391587041,suspend,2016-01-04 10:11:46.498000+00:00,Extra spending limit,Limit raise,Application_895241174,22000.0,,,,,,,,,0.803415,False,False,False
Deleted,User_1,W_Call after offers,Workflow,Workitem_841945355,ate_abort,2016-02-02 07:00:34.765000+00:00,Car,New credit,Application_1710223761,11000.0,,,,,,,,,0.005438055555555556,False,False,False
Obtained,User_29,W_Validate application,Workflow,Workitem_209865834,resume,2016-01-15 09:14:21.799000+00:00,"Other, see explanation",New credit,Application_1339153511,12000.0,,,,,,,,,0.21237027777777778,False,False,False
statechange,User_113,O_Returned,Offer,OfferState_744310440,complete,2016-01-13 08:48:46.366000+00:00,Existing loan takeover,New credit,Application_223366470,5000.0,,,,,,,,Offer_2077320317,0.1816136111111111,False,False,False
statechange,User_16,A_Complete,Application,ApplState_813341385,complete,2016-01-04 09:52:33.852000+00:00,Car,New credit,Application_1603124379,13000.0,,,,,,,,,0.009895277777777777,False,False,False
statechange,User_19,O_Sent (mail and online),Offer,OfferState_1632672751,complete,2016-01-04 16:53:30.246000+00:00,Home improvement,New credit,Application_178025821,50000.0,,,,,,,,Offer_1452285181,4.722222222222222e-06,False,False,False
Created,User_17,W_Complete application,Workflow,Workitem_262590606,schedule,2016-01-02 09:46:40.271000+00:00,Home improvement,New credit,Application_1197857445,6000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Deleted,User_1,W_Handle leads,Workflow,Workitem_1714949464,withdraw,2016-01-03 08:03:54.804000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,2.4999999999999998e-06,False,False,False
statechange,User_37,O_Sent (mail and online),Offer,OfferState_1357405563,complete,2016-01-05 14:04:05.665000+00:00,Home improvement,New credit,Application_1308403282,18000.0,,,,,,,,Offer_191688588,5.555555555555556e-06,False,False,False
statechange,User_8,O_Cancelled,Offer,OfferState_1815367261,complete,2016-01-08 09:59:40.730000+00:00,Not speficied,New credit,Application_1111870538,5000.0,,,,,,,,Offer_792838244,5.555555555555556e-06,False,False,False
Obtained,User_75,W_Call incomplete files,Workflow,Workitem_62308148,start,2016-01-13 12:44:39.274000+00:00,Car,New credit,Application_1535675187,8500.0,,,,,,,,,3.3333333333333333e-06,False,False,False
statechange,User_127,A_Validating,Application,ApplState_1174246089,complete,2016-01-13 14:45:12.558000+00:00,"Other, see explanation",New credit,Application_354702724,5000.0,,,,,,,,,0.021976111111111113,False,False,False
Obtained,User_112,W_Validate application,Workflow,Workitem_495959378,start,2016-01-13 09:49:53.537000+00:00,Car,New credit,Application_1876456626,10750.0,,,,,,,,,0.0002425,False,False,False
Created,User_116,W_Validate application,Workflow,Workitem_2131463936,schedule,2016-01-15 08:36:09.570000+00:00,Home improvement,New credit,Application_2113276114,7500.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_19,A_Create Application,Application,Application_1446096185,complete,2016-01-04 08:08:21.242000+00:00,Unknown,New credit,Application_1446096185,0.0,,,,,,,,,3.611111111111111e-06,False,False,False
Created,User_1,W_Complete application,Workflow,Workitem_311745573,schedule,2016-01-02 09:24:52.071000+00:00,Car,New credit,Application_1363980603,7500.0,,,,,,,,,2.777777777777778e-06,False,False,False
Released,User_75,W_Validate application,Workflow,Workitem_1500895145,suspend,2016-01-15 15:14:16.305000+00:00,Car,New credit,Application_1535675187,8500.0,,,,,,,,,0.06509083333333333,False,False,False
Obtained,User_95,W_Validate application,Workflow,Workitem_455033410,resume,2016-01-11 10:41:53.095000+00:00,Car,New credit,Application_1806387393,5000.0,,,,,,,,,1.7224952777777778,False,False,False
statechange,User_1,A_Submitted,Application,ApplState_1582051990,complete,2016-01-01 09:51:15.352000+00:00,Existing loan takeover,New credit,Application_652823628,20000.0,,,,,,,,,0.00011722222222222221,False,False,False
statechange,User_19,O_Created,Offer,OfferState_737913013,complete,2016-01-04 09:37:26.166000+00:00,Car,Limit raise,Application_821425679,15000.0,,,,,,,,Offer_102669259,0.01671,False,False,False
statechange,User_74,A_Accepted,Application,ApplState_482398188,complete,2016-01-05 18:24:15.344000+00:00,Car,New credit,Application_1876456626,10750.0,,,,,,,,,0.032848333333333334,False,False,False
Created,User_117,W_Validate application,Workflow,Workitem_634453192,schedule,2016-01-15 08:13:15.844000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Obtained,User_68,W_Validate application,Workflow,Workitem_1991007004,resume,2016-01-29 06:55:34.008000+00:00,Home improvement,New credit,Application_948316229,30000.0,,,,,,,,,0.005569166666666667,False,False,False
Created,User_120,W_Validate application,Workflow,Workitem_2025668487,schedule,2016-01-15 10:55:12.392000+00:00,Unknown,New credit,Application_485131054,0.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_19,A_Accepted,Application,ApplState_965165716,complete,2016-01-04 15:52:15.448000+00:00,Unknown,New credit,Application_53530491,0.0,,,,,,,,,0.07136888888888888,False,False,False
Obtained,User_15,W_Call after offers,Workflow,Workitem_2051229765,start,2016-01-04 11:15:54.695000+00:00,Extra spending limit,Limit raise,Application_895241174,22000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Created,User_37,W_Call after offers,Workflow,Workitem_1429617891,schedule,2016-01-05 14:04:05.711000+00:00,Home improvement,New credit,Application_1308403282,18000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_7,A_Complete,Application,ApplState_1760028929,complete,2016-01-04 12:41:03.647000+00:00,Car,New credit,Application_1193723578,20000.0,,,,,,,,,0.03066638888888889,False,False,False
Created,User_1,A_Create Application,Application,Application_93597308,complete,2016-01-04 04:01:40.814000+00:00,Existing loan takeover,New credit,Application_93597308,50000.0,,,,,,,,,1.9166666666666667e-05,False,False,False
statechange,User_1,O_Cancelled,Offer,OfferState_1305067690,complete,2016-02-29 07:02:06.198000+00:00,Home improvement,New credit,Application_1588619628,24000.0,,,,,,,,Offer_1927106744,2.777777777777778e-06,False,False,False
Created,User_1,W_Complete application,Workflow,Workitem_415518642,schedule,2016-01-01 16:23:36.085000+00:00,Car,New credit,Application_1120819670,6850.0,,,,,,,,,3.055555555555555e-06,False,False,False
Released,User_17,W_Complete application,Workflow,Workitem_1074376093,suspend,2016-01-02 15:32:38.782000+00:00,Remaining debt home,New credit,Application_1966208034,40000.0,,,,,,,,,0.07842333333333333,False,False,False
Created,User_10,O_Create Offer,Offer,Offer_1573002745,complete,2016-01-04 16:10:53.595000+00:00,Car,New credit,Application_813133375,33800.0,33800.0,60.0,True,633.0,True,908.0,33800.0,,0.00036638888888888886,False,False,False
statechange,User_24,A_Cancelled,Application,ApplState_1400965497,complete,2016-01-30 09:57:53.608000+00:00,"Other, see explanation",New credit,Application_2040511284,5500.0,,,,,,,,,7.5e-06,False,False,False
Released,User_2,W_Call after offers,Workflow,Workitem_642049958,suspend,2016-01-11 09:35:35.343000+00:00,Existing loan takeover,New credit,Application_1118236712,15000.0,,,,,,,,,621.6149011111111,True,True,True
Created,User_8,O_Create Offer,Offer,Offer_1149798095,complete,2016-01-29 10:09:10.429000+00:00,Car,New credit,Application_952532843,9000.0,9000.0,24.0,True,400.16,False,0.0,9000.0,,0.0003302777777777778,False,False,False
statechange,User_1,O_Cancelled,Offer,OfferState_1003850391,complete,2016-02-05 07:00:37.628000+00:00,Home improvement,New credit,Application_106973225,30000.0,,,,,,,,Offer_1268820311,4.722222222222222e-06,False,False,False
statechange,User_14,O_Created,Offer,OfferState_453547352,complete,2016-01-05 18:09:06.789000+00:00,Car,New credit,Application_864903752,16000.0,,,,,,,,Offer_789190623,0.0035969444444444443,False,False,False
Obtained,User_112,W_Validate application,Workflow,Workitem_508799541,start,2016-01-11 08:51:52.917000+00:00,Existing loan takeover,New credit,Application_167944225,8000.0,,,,,,,,,0.00025861111111111115,False,False,False
Deleted,User_17,W_Handle leads,Workflow,Workitem_2140174115,complete,2016-01-02 09:39:26.329000+00:00,Car,New credit,Application_1806387393,5000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
Obtained,User_71,W_Call after offers,Workflow,Workitem_1136847296,resume,2016-01-08 09:19:46.461000+00:00,"Other, see explanation",New credit,Application_1304234740,50000.0,,,,,,,,,0.025218888888888888,False,False,False
Created,User_1,W_Handle leads,Workflow,Workitem_1425454890,schedule,2016-01-02 17:28:46.794000+00:00,Existing loan takeover,New credit,Application_2110144842,15000.0,,,,,,,,,37.576389999999996,True,True,True
Deleted,User_108,W_Complete application,Workflow,Workitem_1993344468,complete,2016-01-06 17:48:10.313000+00:00,Car,New credit,Application_319587802,7000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
statechange,User_16,O_Created,Offer,OfferState_1328335077,complete,2016-01-04 11:25:46.552000+00:00,Car,New credit,Application_505474597,6750.0,,,,,,,,Offer_1520154683,0.005534444444444444,False,False,False
Deleted,User_87,W_Validate application,Workflow,Workitem_1172081327,complete,2016-01-12 12:47:55.587000+00:00,Car,New credit,Application_864903752,16000.0,,,,,,,,,2.4999999999999998e-06,False,False,False
Obtained,User_2,W_Call incomplete files,Workflow,Workitem_1444957010,resume,2016-01-19 10:35:10.815000+00:00,Existing loan takeover,New credit,Application_93597308,50000.0,,,,,,,,,0.04905305555555556,False,False,False
Released,User_116,W_Validate application,Workflow,Workitem_753897947,suspend,2016-01-13 08:30:54.864000+00:00,Car,New credit,Application_1846626914,5000.0,,,,,,,,,1.3842066666666668,False,False,False
Released,User_2,W_Call incomplete files,Workflow,Workitem_1621279895,suspend,2016-01-13 10:48:40.861000+00:00,"Other, see explanation",New credit,Application_1339153511,12000.0,,,,,,,,,30.12318611111111,False,False,False
statechange,User_1,A_Cancelled,Application,ApplState_1816558185,complete,2016-02-29 07:00:37.927000+00:00,Home improvement,New credit,Application_1791187926,5000.0,,,,,,,,,1.1666666666666668e-05,False,False,False
Obtained,User_2,W_Call incomplete files,Workflow,Workitem_135870506,resume,2016-01-22 13:49:33.613000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,0.030792222222222224,False,False,False
Released,User_71,W_Call after offers,Workflow,Workitem_1307978684,suspend,2016-01-08 08:54:27.838000+00:00,Home improvement,New credit,Application_1538441067,10500.0,,,,,,,,,144.41042222222222,False,False,False
Obtained,User_127,W_Validate application,Workflow,Workitem_1647177035,start,2016-01-13 09:56:09.383000+00:00,Existing loan takeover,New credit,Application_1138826038,5000.0,,,,,,,,,0.00023249999999999999,False,False,False
Obtained,User_20,W_Call after offers,Workflow,Workitem_499760773,resume,2016-01-08 08:28:45.149000+00:00,Car,New credit,Application_931862671,6000.0,,,,,,,,,0.035383055555555556,False,False,False
Deleted,User_74,W_Complete application,Workflow,Workitem_2098487667,ate_abort,2016-01-05 17:20:46.250000+00:00,Car,New credit,Application_430902047,5000.0,,,,,,,,,2.3055555555555558e-05,False,False,False
Obtained,User_22,W_Call after offers,Workflow,Workitem_465031299,start,2016-01-04 18:32:36.155000+00:00,Not speficied,New credit,Application_1845547664,9000.0,,,,,,,,,3.888888888888889e-06,False,False,False
Obtained,User_75,W_Validate application,Workflow,Workitem_621248307,resume,2016-01-15 15:30:13.518000+00:00,Car,New credit,Application_1535675187,8500.0,,,,,,,,,0.06765777777777778,False,False,False
Created,User_92,W_Validate application,Workflow,Workitem_804365345,schedule,2016-01-15 17:45:35.855000+00:00,Car,New credit,Application_283012951,25000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_10,O_Created,Offer,OfferState_1710251428,complete,2016-01-05 19:04:32.198000+00:00,Home improvement,Limit raise,Application_1947668470,20000.0,,,,,,,,Offer_1364724660,0.021843055555555557,False,False,False
statechange,User_1,A_Concept,Application,ApplState_222145012,complete,2016-01-04 11:33:14.126000+00:00,Home improvement,New credit,Application_1315608886,15000.0,,,,,,,,,23.6528425,True,True,True
Obtained,User_2,W_Call incomplete files,Workflow,Workitem_524929953,resume,2016-01-25 10:24:20.668000+00:00,Home improvement,New credit,Application_1946680177,25000.0,,,,,,,,,0.007875,False,False,False
Released,User_41,W_Call incomplete files,Workflow,Workitem_1509980049,suspend,2016-01-21 08:13:05.218000+00:00,Home improvement,New credit,Application_1315608886,15000.0,,,,,,,,,4.599847777777778,False,False,False
Created,User_1,W_Handle leads,Workflow,Workitem_490243885,schedule,2016-01-03 08:40:32.086000+00:00,"Other, see explanation",New credit,Application_130460765,20000.0,,,,,,,,,0.008442777777777776,False,False,False
statechange,User_115,O_Accepted,Offer,OfferState_250916193,complete,2016-01-12 13:37:49.762000+00:00,Car,New credit,Application_709929024,5000.0,,,,,,,,Offer_634270802,1.388888888888889e-06,False,False,False
Created,User_31,W_Complete application,Workflow,Workitem_1747910211,schedule,2016-01-04 18:55:47.017000+00:00,Existing loan takeover,New credit,Application_547462088,20000.0,,,,,,,,,5.555555555555555e-07,False,False,False
statechange,User_115,A_Pending,Application,ApplState_1833379400,complete,2016-01-13 10:55:51.406000+00:00,Car,New credit,Application_1290239114,15000.0,,,,,,,,,5.277777777777778e-06,False,False,False
Deleted,User_19,W_Complete application,Workflow,Workitem_1382398816,ate_abort,2016-01-04 12:07:47.591000+00:00,Car,New credit,Application_1825972191,15000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
Created,User_24,O_Create Offer,Offer,Offer_1363765075,complete,2016-01-05 13:25:19.683000+00:00,Home improvement,Limit raise,Application_2070389081,30000.0,0.0,126.0,True,325.0,True,0.0,32500.0,,0.00037305555555555556,False,False,False
Deleted,User_1,W_Call after offers,Workflow,Workitem_150057783,ate_abort,2016-02-02 07:00:27.802000+00:00,Car,New credit,Application_1017492916,15000.0,,,,,,,,,0.005438055555555556,False,False,False
Obtained,User_117,W_Validate application,Workflow,Workitem_1205573411,start,2016-01-13 09:50:02.445000+00:00,Car,New credit,Application_1395142997,20000.0,,,,,,,,,0.0009291666666666667,False,False,False
statechange,User_1,A_Concept,Application,ApplState_556105735,complete,2016-01-04 14:59:05.569000+00:00,Car,New credit,Application_864903752,16000.0,,,,,,,,,20.372404166666666,False,False,False
statechange,User_90,O_Accepted,Offer,OfferState_988204008,complete,2016-02-01 08:10:25.122000+00:00,Existing loan takeover,New credit,Application_767475240,15400.0,,,,,,,,Offer_1069431412,2.611111111111111e-05,False,False,False
Obtained,User_17,W_Complete application,Workflow,Workitem_738782250,start,2016-01-02 13:02:58.742000+00:00,Existing loan takeover,New credit,Application_767475240,15400.0,,,,,,,,,5.555555555555555e-07,False,False,False
statechange,User_99,O_Accepted,Offer,OfferState_1513763630,complete,2016-01-12 13:16:41.624000+00:00,Car,Limit raise,Application_299986859,30000.0,,,,,,,,Offer_1747811596,8.333333333333333e-07,False,False,False
Obtained,User_38,W_Call after offers,Workflow,Workitem_1728023419,start,2016-01-02 14:06:42.804000+00:00,Car,New credit,Application_1294530310,10000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Released,User_34,W_Call incomplete files,Workflow,Workitem_1972952688,suspend,2016-02-12 15:59:37.678000+00:00,Unknown,New credit,Application_1660185664,0.0,,,,,,,,,232.69765833333332,True,True,True
statechange,User_95,O_Cancelled,Offer,OfferState_256378072,complete,2016-01-28 12:18:51.306000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,Offer_1319158006,3.055555555555555e-06,False,False,False
statechange,User_87,A_Pending,Application,ApplState_1744570261,complete,2016-01-12 12:16:49.983000+00:00,Not speficied,New credit,Application_584603670,5000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_114,O_Returned,Offer,OfferState_1281005623,complete,2016-01-15 11:56:17.379000+00:00,Home improvement,Limit raise,Application_2035768049,15000.0,,,,,,,,Offer_1525129982,0.055369722222222216,False,False,False
Obtained,User_3,W_Call after offers,Workflow,Workitem_237807435,start,2016-01-02 15:50:48.592000+00:00,Car,New credit,Application_1710223761,11000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Obtained,User_71,W_Call after offers,Workflow,Workitem_1261465671,resume,2016-01-08 08:53:00.339000+00:00,Car,New credit,Application_1553362978,12000.0,,,,,,,,,0.013435,False,False,False
Created,User_1,A_Create Application,Application,Application_1405679737,complete,2016-01-03 08:02:41.184000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,3.1666666666666666e-05,False,False,False
Released,User_16,W_Complete application,Workflow,Workitem_1197670693,suspend,2016-01-05 11:32:10.770000+00:00,Home improvement,New credit,Application_948316229,30000.0,,,,,,,,,1.678481388888889,False,False,False
Deleted,User_1,W_Handle leads,Workflow,Workitem_529656000,withdraw,2016-01-02 20:21:49.479000+00:00,Car,New credit,Application_1825104006,15000.0,,,,,,,,,2.222222222222222e-06,False,False,False
Released,User_71,W_Call after offers,Workflow,Workitem_976127271,suspend,2016-01-08 08:57:20.384000+00:00,Car,New credit,Application_1825972191,15000.0,,,,,,,,,0.007330000000000001,False,False,False
Released,User_95,W_Validate application,Workflow,Workitem_377929238,suspend,2016-01-11 07:48:59.897000+00:00,Home improvement,New credit,Application_1878239836,15000.0,,,,,,,,,1.55576,False,False,False
Deleted,User_87,W_Validate application,Workflow,Workitem_302132393,complete,2016-01-12 10:05:50.101000+00:00,"Other, see explanation",New credit,Application_1859638703,15000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
Released,User_15,W_Call after offers,Workflow,Workitem_1675337885,suspend,2016-01-08 09:05:29.273000+00:00,Car,Limit raise,Application_1696031128,20000.0,,,,,,,,,72.81109638888888,False,False,False
Created,User_7,W_Call after offers,Workflow,Workitem_557626001,schedule,2016-01-05 10:44:42.790000+00:00,Existing loan takeover,New credit,Application_395903076,16000.0,,,,,,,,,1.111111111111111e-06,False,False,False
statechange,User_117,O_Returned,Offer,OfferState_475939324,complete,2016-01-13 08:33:10.066000+00:00,Home improvement,New credit,Application_58755651,50000.0,,,,,,,,Offer_1574564290,0.08604944444444446,False,False,False
statechange,User_127,A_Validating,Application,ApplState_1171440433,complete,2016-01-13 10:57:11.739000+00:00,"Other, see explanation",Limit raise,Application_1307111345,20000.0,,,,,,,,,0.01705111111111111,False,False,False
Released,User_30,W_Call incomplete files,Workflow,Workitem_617931636,suspend,2016-01-12 09:59:54.769000+00:00,Unknown,New credit,Application_2108937169,0.0,,,,,,,,,1.0084283333333333,False,False,False
Deleted,User_117,W_Call after offers,Workflow,Workitem_489125617,ate_abort,2016-01-13 09:50:02.437000+00:00,Car,New credit,Application_1395142997,20000.0,,,,,,,,,1.6666666666666667e-06,False,False,False
statechange,User_117,A_Validating,Application,ApplState_213277399,complete,2016-01-13 09:50:05.790000+00:00,Car,New credit,Application_1395142997,20000.0,,,,,,,,,0.002267777777777778,False,False,False
Created,User_118,W_Validate application,Workflow,Workitem_1603968047,schedule,2016-01-12 14:04:26.191000+00:00,"Other, see explanation",New credit,Application_1859638703,15000.0,,,,,,,,,5.555555555555555e-07,False,False,False
statechange,User_1,A_Submitted,Application,ApplState_1884740326,complete,2016-01-02 16:46:47.865000+00:00,Home improvement,New credit,Application_2113276114,7500.0,,,,,,,,,0.00015500000000000003,False,False,False
statechange,User_16,A_Complete,Application,ApplState_2966903,complete,2016-01-04 13:45:53.723000+00:00,Car,New credit,Application_813133375,33800.0,,,,,,,,,0.043583611111111115,False,False,False
statechange,User_112,O_Returned,Offer,OfferState_645878755,complete,2016-01-18 08:56:45.841000+00:00,Car,New credit,Application_1294530310,10000.0,,,,,,,,Offer_1183140970,0.0596975,False,False,False
Deleted,User_116,W_Call incomplete files,Workflow,Workitem_1295854498,ate_abort,2016-01-18 14:59:10.305000+00:00,"Other, see explanation",New credit,Application_60181210,20000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
Obtained,User_41,W_Call incomplete files,Workflow,Workitem_53009429,resume,2016-01-11 11:41:26.493000+00:00,Car,New credit,Application_323012882,8000.0,,,,,,,,,0.053713055555555556,False,False,False
Deleted,User_10,W_Call after offers,Workflow,Workitem_1170082317,ate_abort,2016-01-12 09:26:12.165000+00:00,Home improvement,New credit,Application_798605556,35000.0,,,,,,,,,0.005438055555555556,False,False,False
Deleted,User_95,W_Validate application,Workflow,Workitem_907328257,complete,2016-01-14 10:50:46.106000+00:00,Car,New credit,Application_1876456626,10750.0,,,,,,,,,3.055555555555555e-06,False,False,False
Obtained,User_95,W_Call incomplete files,Workflow,Workitem_505639089,start,2016-01-15 11:31:32.275000+00:00,Home improvement,New credit,Application_178025821,50000.0,,,,,,,,,5.555555555555555e-07,False,False,False
statechange,User_114,A_Validating,Application,ApplState_2068194952,complete,2016-01-27 09:13:04.216000+00:00,Home improvement,Limit raise,Application_980495316,42000.0,,,,,,,,,0.006334166666666667,False,False,False
Released,User_16,W_Complete application,Workflow,Workitem_1615614840,suspend,2016-01-04 11:17:23.781000+00:00,Home improvement,New credit,Application_1947648225,22000.0,,,,,,,,,0.6306849999999999,False,False,False
statechange,User_1,O_Cancelled,Offer,OfferState_815006009,complete,2016-02-04 07:00:32.955000+00:00,Home improvement,Limit raise,Application_1397856354,0.0,,,,,,,,Offer_1078348600,2.777777777777778e-06,False,False,False
